0.5 15.95644435 18.36115896 27.38105914 28.25792342 36.69132818 37.28347014 40.25706592 41.50621435
0.6 14.86177789 17.71219864 26.40270001 26.96473192 33.44910106 35.95697591 38.00794107 38.07522875 41.22442810
0.7 13.86652538 17.16982598 25.45332046 25.54689211 29.98921490 34.45567973 34.93874251 36.40927790 39.01202493 41.15542736
0.8 12.96644939 16.71783044 23.85253850 24.80944794 26.73590729 32.27378812 32.81835389 34.80626612 37.10354145 39.26548670
0.9 12.15626789 16.34318281 22.31408086 23.80233088 24.18422865 29.99490916 31.16209412 33.15659960 35.42372050 37.58047556
1.0 11.42987013 16.02563624 20.93511310 21.21691494 23.66201323 28.09926871 29.59127831 31.47277187 33.85313184 35.46021568
1.1 10.78198004 15.72747511 18.99163545 19.72442133 23.23141399 26.55116204 28.16688918 29.81497245 32.29148900 33.94991302
1.2 10.20937431 15.35329483 17.18706632 18.67051730 22.88032157 25.29690970 26.91377466 28.25944337 30.79424337 32.87004999
1.3 9.71030036 14.59780949 16.07691085 17.76413273 22.59816104 24.28904207 25.83566897 26.86643623 29.42483428 32.04804922
1.4 9.28356987 13.44521868 15.65049452 16.99668225 22.37772657 23.49223264 24.92627302 25.66593225
1.5 8.92773711 12.33151894 15.44569827 16.35857296 22.21441789 22.87893059 24.17456954 24.66329849
1.6 8.64051115 11.38013230 15.30913826 15.83859373 22.10332951 22.42337499 23.56625055 23.84914476 26.04657254
1.7 8.41855106 10.60030219 15.20026535 15.42412109 22.03679523 22.10109075 23.08410320 23.20744435 25.13653061
1.8 8.25749685 9.97965446 15.10247956 15.10487616 21.89334598 22.00408160 22.70903286 22.72164357 24.33582285 26.91401768
1.9 8.15200844 9.50048002 14.86233260 15.02095499 21.79007335 21.99298857 22.37816850 22.42173982 23.64860525 25.73370041
2.0 8.09582977 9.14372845 14.69374685 14.95163311 21.78810782 21.99215312 22.16598038 22.20435077 23.07826399 24.71938507
