0.5 14.35995026 16.27763196 23.51117540 24.97181601 36.73367165 37.25646319 39.78059627 45.16017977 45.75299472
0.6 12.80680169 15.59387075 22.46404149 23.38936837 35.48363735 36.18583955 36.43240034 41.73922523 43.12604881
0.7 11.29387970 15.03073913 21.59673053 21.85568241 33.45117412 34.14592590 35.08137215 38.73386006 39.27127405
0.8 9.84365208 14.57680432 20.47157852 20.89631723 30.81871866 32.70950522 33.90917958 35.82463351 36.14866990
0.9 8.48074144 14.22211568 19.29428052 20.34928500 28.51602142 31.19624737 32.60874468 32.82739062 34.05367210
1.0 7.22563850 13.95477192 18.33203911 19.94148921 26.52122006 29.59502299 30.32809096 31.09378208 32.54185990
1.1 6.09122673 13.76072055 17.55125287 19.65809276 24.80759787 27.75264478 28.48055981 29.54678897 31.42587780
1.2 5.08244944 13.62745160 16.91569524 19.48432152 23.34670711 25.92481219 27.01333088 28.15509708 30.50423407
1.3 4.19788898 13.54728156 16.39807599 19.40730581 22.11343388 24.33116232 25.68541896 26.95964180 29.71749938
1.4 3.43199909 13.51697443 15.97778092 19.41718692 21.08763246 22.97677856 24.46768272 25.95457019 29.05232141 30.48819159
1.5 2.77692137 13.53347468 15.63821096 19.50563148 20.25120313 21.83927636 23.35875193 25.12328863 28.50551322 28.62944790
1.6 2.22355961 13.58937809 15.36549867 19.58402699 19.66257087 20.89453105 22.36327244 24.44582695 26.97484794 28.07447789
1.7 1.76211472 13.67323103 15.14802553 19.87375534 19.06364210 20.11972667 21.49096655 23.90033553 25.52810858 27.75404125
1.8 1.38239473 13.77395771 14.97620867 19.49269826 18.66814933 20.12066548 20.75656724 23.46442210 24.29273925 
1.9 1.07408909 13.88351818 14.84221304 18.99026297 18.37707700 20.17990525 20.38243241 23.11697267 23.27578465 27.40731994
2.0 0.82705734 13.99510781 14.73940672 18.58808923 18.16812421 19.78473680 20.63868565 22.48899003 22.83971644 27.35521605
