0.5 8.549438 9.390654 11.489626 11.856892 13.913558 14.390995 14.717776
0.6 9.196465 9.243419 12.021173 12.208525 13.766842 14.191509 14.841518
0.7 8.997785 9.649196 12.371737 12.460005 13.280566 13.722548 15.560513
0.8 8.711710 9.890418 12.337952 12.568022 13.115242 13.332705 15.458291
0.9 8.408129 9.954394 12.060968 12.567045 13.017677 13.149388 15.219385
1.0 8.097425 9.884836 11.787783 12.493023 12.763769 13.150254 14.948460
1.1 7.784211 9.721421 11.544759 12.357783 12.558824 13.081291 14.650643
1.2 7.469924 9.496066 11.286998 12.144276 12.400122 12.946488 14.332725
1.3 7.155163 9.232111 10.950833 11.824343 12.292911 12.746945 14.001172
1.4 6.842198 8.946909 10.481891 11.380290 12.240653 12.500235 13.662751 
1.5 6.532213 8.651560 9.879022 10.821589 12.241751 12.268451 13.322689 
1.6 6.226806 8.354027 9.193237 10.183331 12.087834 12.287997 12.985817
1.7 5.927016 8.059573 8.482960 9.509136 11.944621 12.360224 12.655740
1.8 5.633245 7.771814 7.789121 8.835253 11.815712 12.335161 12.416065
1.9 5.344580 7.122803 7.490720 8.173501 11.678261 12.025146 12.250178
2.0 5.061887 6.491172 7.218317 7.536001 11.457691 11.547041 11.727164 
2.1 4.786283 5.899690 6.924951 6.956563 10.503382 11.228129 11.434300 11.442537
2.2 4.518567 5.343382 6.343174 6.706326 9.662604 10.365280 11.171936 
2.3 4.259969 4.820936 5.792694 6.468719 8.901841 9.608856 10.916049 
2.4 4.012136 4.324487 5.270295 6.245100 8.200177 8.931490 10.675725 
2.5 3.777175 3.847027 4.775824 6.037151 7.552321 8.321605 10.452175 
2.6 3.379868 3.557143 4.309437 5.846117 6.955518 7.774090 10.246823 
2.7 2.905828 3.354044 3.869099 5.671814 6.401332 7.277679 10.061495 
2.8 2.399985 3.171253 3.456589 5.516975 5.895077 6.836676 9.900003 
2.9 1.813208 3.011426 3.073401 5.382007 5.436771 6.449405 9.767224 
3.0 0.950413 2.720208 2.877657 5.027744 5.268278 6.116212 9.671369 
