0.5 13.958978 15.988203 22.601413 24.473699 36.223402 36.767049 45.664540 48.670104
0.6 12.315363 15.245700 21.528414 22.840039 34.850060 35.593697 45.948370 48.138676
0.7 10.724511 14.625189 20.634272 21.268565 33.390968 34.405202 46.486160 47.186966
0.8 9.207922 14.113717 19.849950 19.903694 31.846485 33.196378 45.600099 47.664419
0.9 7.785133 13.693137 18.632981 19.324318 30.276080 31.996832 43.958608 47.755777
1.0 6.470741 13.356144 17.621477 18.878469 28.748345 30.833080 42.558354 48.373293
1.1 5.272796 13.086181 16.779214 18.550284 27.324454 29.723130 41.294795 48.870208
1.2 4.195351 12.874579 16.075036 18.323940 26.042780 28.677190 40.073775 49.290434
1.3 3.235940 12.700562 15.481307 18.186673 24.897391 27.700606 38.852586 49.366652
1.4 2.388844 12.568233 14.977077 18.129102 23.866121 26.794905 37.613825 46.901137
1.5 1.647127 12.472382 14.546208 18.143744 22.914469 25.959785 36.360711 48.347762
1.6 1.003816 12.406681 14.176134 18.221557 22.029497 25.193423 35.105911 48.045415
1.7 0.451883 12.361724 13.858142 18.351602 21.217451 24.493140 33.862781 47.687221
1.8 -0.042832 12.329733 13.582477 18.519144 20.492931 23.856453 32.642580 47.651192
